"Country","State","District","Sub-District","Year","Infant Mortality Rate (Imr) (UOM:%(Percentage)), Scaling Factor:1","People Living In Kutchha Houses (%) (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Households Not Using Solid Cooking Fuel (%) (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Households Without Electricity Connection (%) (UOM:%(Percentage)), Scaling Factor:1","Mothers Who Did Not Consume Iron Folic Acid For 180 Days Or More When They Were Pregnant (%) (UOM:%(Percentage)), Scaling Factor:1","Mothers Who Have Not Had At Least 4 Antenatal Care Visits (%) (UOM:%(Percentage)), Scaling Factor:1","Women Age 15-49 Years Who Are Anemic (%) (UOM:%(Percentage)), Scaling Factor:1","Households With Not Even One Household Member Has Completed Six Years Of Schooling (%) (UOM:%(Percentage)), Scaling Factor:1","Children Age 6 To 59 Months Who Are Underweight Or Stunted (%) (UOM:%(Percentage)), Scaling Factor:1","Children Aged 9-35 Months Who Did Not Receive Vitamin A Dose (%) (UOM:%(Percentage)), Scaling Factor:1","Per Capita Income At Current Prices 2019-20 (UOM:INR(IndianRupees)), Scaling Factor:1"
"India","Karnataka","Bagalkote","Badami","Financial Year (Apr - Mar), 2020","14.07","56.81","53.65","0.86","77.18","17.22","44.51","8.47","60.60","60.20","164133"
"India","Karnataka","Bagalkote","","Financial Year (Apr - Mar), 2020","6.87","54.59","48.91","0.77","81.61","11.75","47.43","11.09","48.80","64.93","198467"
"India","Karnataka","Bagalkote","","Financial Year (Apr - Mar), 2020","3.67","50.55","50.01","0.96","77.99","28.20","50.49","9.68","37.90","73.71","160795"
"India","Karnataka","Bagalkote","Guledgudda","Financial Year (Apr - Mar), 2020","10.70","57.19","50.56","1.19","83.87","26.20","51.55","4.84","55.57","78.32","192735"
"India","Karnataka","Bagalkote","","Financial Year (Apr - Mar), 2020","1.84","35.11","","0.33","97.50","None","50.39","11.53","49.78","59.94","232010"
"India","Karnataka","Bagalkote","Ilkal","Financial Year (Apr - Mar), 2020","0.26","33.18","60.39","0.11","95.99","7.46","48.72","8.20","54.71","35.20","147784"
"India","Karnataka","Bagalkote","Jamkhandi","Financial Year (Apr - Mar), 2020","37.11","42.45","","1.42","73.91","None","42.49","4.45","50.61","70.13","187955"
"India","Karnataka","Bagalkote","Mudhol","Financial Year (Apr - Mar), 2020","21.67","47.34","41.72","0.98","63.22","13.45","46.53","10.35","48.20","64.02","188586"
"India","Karnataka","Bagalkote","Rabakavi Banahatti","Financial Year (Apr - Mar), 2020","12.42","32.45","","1.45","75.44","11.05","44.36","5.69","48.46","60.95","110308"
"India","Karnataka","Ballari","Ballari","Financial Year (Apr - Mar), 2020","51.77","39.84","39.28","0.52","95.67","34.38","52.53","13.61","42.12","67.57","173684"
"India","Karnataka","Ballari","Hadagalli","Financial Year (Apr - Mar), 2020","23.73","63.66","35.36","3.00","85.06","22.75","54.16","17.07","39.33","69.24","128002"
"India","Karnataka","Ballari","Harapanahalli","Financial Year (Apr - Mar), 2020","11.87","52.34","43.92","3.56","85.28","27.41","47.72","12.94","37.97","68.27","92793"
"India","Karnataka","Ballari","","Financial Year (Apr - Mar), 2020","15.72","44.40","20.26","1.99","NaN","28.96","54.92","9.64","42.38","73.80","127623"
"India","Karnataka","Ballari","Kampli","Financial Year (Apr - Mar), 2020","38.44","47.24","","1.45","90.39","33.64","60.60","13.43","43.81","62.88","147220"
"India","Karnataka","Ballari","Kotturu","Financial Year (Apr - Mar), 2020","6.91","52.45","42.27","2.88","92.18","12.76","50.62","14.74","43.18","76.93","121607"
"India","Karnataka","Ballari","Kudligi","Financial Year (Apr - Mar), 2020","60.00","61.27","68.81","6.27","98.24","32.05","40.70","20.05","47.14","82.73","152649"
